"Price","State","District","Rooms","Total Area","Living Area","Location","Floors","Ceiling height","Furniture","Land area","Condition","House type","Building type","Water","Electricity","Heating","Gas","Year"
"150 000 у.е.","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"195 000 у.е. Kelishilgan","Toshkent, Uchtepa tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"84 000 у.е. Kelishilgan","Toshkent, Sirg‘ali tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"260 000 у.е.","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"280 000 у.е. Kelishilgan","Toshkent, Mirobod tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"280 000 у.е.","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"220 000 у.е.","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"450 000 у.е. Kelishilgan","Toshkent, Sirg‘ali tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"500 000 у.е.","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"600 000 у.е. Kelishilgan","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"395 000 у.е.","Toshkent, Yakkasaroy tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"400 000 у.е.","Toshkent, Yunusobod tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"99 500 у.е.","Toshkent, Yunusobod tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"165 000 у.е.","Toshkent, Sirg‘ali tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"160 000 у.е. Kelishilgan","Toshkent, Yunusobod tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"140 000 у.е. Kelishilgan","Toshkent, Yunusobod tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"950 000 у.е. Kelishilgan","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"250 000 у.е. Kelishilgan","Toshkent, Yunusobod tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"280 000 у.е. Kelishilgan","Toshkent, Sirg‘ali tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"41 000 у.е. Kelishilgan","Toshkent, Olmazor tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"120 000 у.е.","Toshkent, Chilonzor tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"500 000 у.е. Kelishilgan","Toshkent, Yakkasaroy tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"525 000 у.е.","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"275 000 у.е.","Toshkent, Yunusobod tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"400 000 у.е. Kelishilgan","Toshkent, Yunusobod tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"400 000 у.е. Kelishilgan","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"400 000 у.е.","Toshkent, Mirzo-Ulug‘bek tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"62 000 у.е. Kelishilgan","Toshkent, Yashnobod tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
"500 000 у.е.","Toshkent, Yakkasaroy tumani","Toshkent viloyati","","","","","","","","","","","","","","","",""
