square,price,address
500.0,2285852440,Olmazor
250.0,2984307352,Olmazor
200.0,3174795055,Yunusobod
650.0,5587639297,Yunusobod
170.0,2793819649,Mirzo-Ulug‘bek
130.0,965137697,Sirg‘ali
125.0,1511202446,Yashnobod
150.0,698454912,Bektemir
60.0,825446714,Mirzo-Ulug‘bek
138.0,1409609005,Sirg‘ali
450.0,5968614704,Mirzo-Ulug‘bek
100.0,5079672088,Sirg‘ali
200.0,5714631099,Mirzo-Ulug‘bek
75.0,927040156,Mirzo-Ulug‘bek
78.0,798778436,Shayxontohur
281.0,7619508133,Mirzo-Ulug‘bek
60.0,609560651,Mirobod
350.0,5460647495,Mirzo-Ulug‘bek
400.0,5079672088,Mirzo-Ulug‘bek
300.0,2158860638,Mirzo-Ulug‘bek
360.0,6349590111,Mirzo-Ulug‘bek
300.0,9524385166,Mirzo-Ulug‘bek
270.0,2019169655,Yashnobod
400.0,4190729473,Sirg‘ali
450.0,15239016265,Mirzo-Ulug‘bek
250.0,2666827846,Mirzo-Ulug‘bek
300.0,7111540924,Yakkasaroy
350.0,8876726974,Mirzo-Ulug‘bek
400.0,7746499935,Yakkasaroy
410.0,5333655693,Mirzo-Ulug‘bek
350.0,3746258165,Sirg‘ali
18.45,1257218842,Yashnobod
50.0,1079430319,Bektemir
90.0,838145895,Sirg‘ali
390.0,2730323748,Yunusobod
220.0,2311250800,Sirg‘ali
120.0,1561999167,Sirg‘ali
120.0,1841381132,Mirobod
85.0,704804502,Yashnobod
20.0,1085144950,Yashnobod
90.0,1212771711,Mirobod
354.0,3936745869,Mirobod
450.0,5079672088,Mirzo-Ulug‘bek
48.0,800100000,Chilonzor
77.0,1269918022,Uchtepa
600.0,3936745869,Olmazor
100.0,1523901627,Yashnobod
500.0,888942615,Yakkasaroy
600.0,1803283591,Bektemir
100.0,927040156,Yunusobod
300.0,4381217176,Olmazor
200.0,787349174,Yashnobod
200.0,1206422121,Sirg‘ali
100.0,1612795888,Yashnobod
470.0,1904877033,Sirg‘ali
530.0,3428778660,Mirobod
450.0,2793819649,Shayxontohur
615.0,2438242602,Yunusobod
335.0,5651135198,Mirzo-Ulug‘bek
760.0,3174795055,Yunusobod
500.0,4571704880,Uchtepa
120.0,1079430319,Mirobod
400.0,2158860638,Bektemir
102.0,1587397528,Mirobod
600.0,1892177853,Sirg‘ali
70.0,697184994,Yashnobod
500.0,2920811451,Mirzo-Ulug‘bek
100.0,1549299987,Yashnobod
65.0,704804502,Yashnobod
200.0,2031868835,Yashnobod
70.0,603211060,Yashnobod
30.0,1400719578,Yashnobod
105.0,2349348341,Yashnobod
220.0,1206422121,Yashnobod
300.0,323829096,Yashnobod
370.0,3797054886,Sirg‘ali
200.0,2057267196,Sirg‘ali
150.0,3174795055,Mirzo-Ulug‘bek
