square,price,address
500 m²,2 285 852 440 so’mKelishilgan,"Toshkent, Olmazor tumani - 2025-06-28"
1 060 m²,952 438 517 so’m,Andijon - 2025-07-01
300 m²,761 950 813 so’mKelishilgan,Samarqand - 2025-07-01
250 m²,2 984 307 352 so’m,"Toshkent, Olmazor tumani - Bugunda 10:11"
4 m²,4 063 737 671 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:11"
830 m²,3 301 786 857 so’mKelishilgan,Samarqand - Bugunda 10:11
200 m²,3 174 795 055 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 10:11"
650 m²,5 587 639 297 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 10:11"
170 m²,2 793 819 649 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:10"
130 m²,965 137 697 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 10:10"
6 m²,393 674 587 so’m,Buxoro - Bugunda 10:08
13 m²,990 536 057 so’m,Samarqand - Bugunda 10:08
53 m²,317 479 506 so’m,Samarqand - Bugunda 10:07
125 m²,1 511 202 446 so’m,"Toshkent, Yashnobod tumani - 2025-07-01"
1 m²,1 777 885 231 so’m,"Toshkent, Yakkasaroy tumani - 2025-06-29"
299 m²,1 206 422 121 so’mKelishilgan,Chirchiq - Bugunda 09:30
600 m²,698 454 912 so’m,Keles - Bugunda 10:06
150 m²,698 454 912 so’mKelishilgan,"Toshkent, Bektemir tumani - Bugunda 10:06"
974 m²,2 285 852 440 so’mKelishilgan,Keles - Bugunda 10:05
60 m²,825 446 714 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:05"
138 m²,1 409 609 005 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 10:05"
450 m²,5 968 614 704 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:04"
15 000 m²,3 809 754 066 so’m,"Toshkent, Chilonzor tumani - Bugunda 10:06"
100 m²,5 079 672 088 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 10:02"
200 m²,5 714 631 099 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:02"
75 m²,927 040 156 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:01"
200 m²,2 730 323 748 so’m,Qibray - 2025-06-30
1 200 m²,3 047 803 253 so’m,Bulung'ur - 2025-07-01
78 m²,798 778 436 so’m,"Toshkent, Shayxontohur tumani - 2025-07-01"
281 m²,7 619 508 133 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:01"
60 m²,609 560 651 so’mKelishilgan,"Toshkent, Mirobod tumani - Bugunda 10:03"
350 m²,5 460 647 495 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:01"
400 m²,5 079 672 088 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:01"
250 m²,1 765 186 051 so’mKelishilgan,Keles - Bugunda 10:00
300 m²,2 158 860 638 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 10:00"
761 m²,634 959 011 so’mKelishilgan,Pskent - Bugunda 10:00
360 m²,6 349 590 111 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:59"
300 m²,9 524 385 166 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:57"
4 m²,2 095 364 736 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 09:57"
180 m²,925 770 238 so’m,Nazarbek - 2025-07-01
4.50 m²,546 064 750 so’m,Navoiy - 2025-06-30
366 m²,825 446 714 so’mKelishilgan,Urganch - 2025-06-30
400 m²,8 254 467 144 so’mKelishilgan,Qibray - Bugunda 09:57
270 m²,2 019 169 655 so’m,"Toshkent, Yashnobod tumani - Bugunda 09:57"
400 m²,4 190 729 473 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 09:55"
450 m²,15 239 016 265 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:55"
350 m²,2 984 307 352 so’mKelishilgan,Qibray - Bugunda 09:55
250 m²,2 666 827 846 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:53"
300 m²,7 111 540 924 so’mKelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 09:53"
350 m²,8 876 726 974 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:53"
1 000 m²,20 318 688 354 so’mKelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 09:53"
65 m²,100 000 000 so’mKelishilgan,Jizzax - Bugunda 09:53
,,
500 m²,1 269 918 022 so’m,Buxoro - 2025-06-30
4 m²,2 412 844 242 so’m,"Toshkent, Shayxontohur tumani - 2025-07-01"
400 m²,7 746 499 935 so’mKelishilgan,"Toshkent, Yakkasaroy tumani - 2025-07-01"
11.29 m²,2 044 568 016 so’m,Samarqand - 2025-07-01
8 m²,1 079 430 319 so’m,"Toshkent, Bektemir tumani - 2025-07-01"
370 m²,2 285 852 440 so’m,Samarqand - 2025-06-30
410 m²,5 333 655 693 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - 2025-06-30"
350 m²,3 746 258 165 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - 2025-06-30"
3 480 m²,2 666 827 846 so’m,Eshonguzar - 2025-06-29
18.45 m²,1 257 218 842 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 09:50"
600 m²,2 920 811 451 so’m,Qibray - Bugunda 09:52
87 m²,444 471 308 so’m,Samarqand - Bugunda 09:48
1 300 m²,9 524 385 166 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:46"
50 m²,1 079 430 319 so’mKelishilgan,"Toshkent, Bektemir tumani - Bugunda 09:48"
5 m²,450 000 000 so’mKelishilgan,Navoiy - Bugunda 09:45
90 m²,838 145 895 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 09:43"
600 m²,1 692 965 813 so’mKelishilgan,Samarqand - 2025-07-01
1 000 m²,3 936 745 869 so’mKelishilgan,"Toshkent, Yakkasaroy tumani - 2025-06-30"
390 m²,2 730 323 748 so’m,"Toshkent, Yunusobod tumani - Bugunda 09:43"
220 m²,2 311 250 800 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 09:43"
120 m²,1 561 999 167 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 09:43"
6 m²,693 000 000 so’m,Yangiyo'l - Bugunda 09:43
120 m²,1 841 381 132 so’mKelishilgan,"Toshkent, Mirobod tumani - Bugunda 09:42"
85 m²,704 804 502 so’m,"Toshkent, Yashnobod tumani - Bugunda 09:42"
20 m²,1 085 144 950 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 09:42"
0.60 m²,431 772 128 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 09:42"
90 m²,1 212 771 711 so’m,"Toshkent, Mirobod tumani - Bugunda 09:42"
354 m²,3 936 745 869 so’mKelishilgan,"Toshkent, Mirobod tumani - Bugunda 09:42"
450 m²,5 079 672 088 so’m,"Toshkent, Mirzo-Ulug‘bek tumani - 2025-06-30"
1 000 m²,1 549 299 987 so’mKelishilgan,Navoiy - 2025-07-01
2.60 m²,1 549 299 987 so’mKelishilgan,Nazarbek - 2025-06-30
48 m²,800 100 000 so’mKelishilgan,"Toshkent, Chilonzor tumani - 2025-06-27"
300 m²,888 942 615 so’m,Samarqand - 2025-06-21
700 m²,253 970 905 so’mKelishilgan,Yangiyo'l - 2025-06-26
550 m²,761 950 813 so’m,Yangiyo'l - 2025-06-30
220 m²,880 000 000 so’m,Navoiy - Bugunda 10:24
77 m²,1 269 918 022 so’mKelishilgan,"Toshkent, Uchtepa tumani - 2025-06-02"
400 m²,545 000 000 so’mKelishilgan,Navoiy - 2025-07-01
600 m²,3 936 745 869 so’mKelishilgan,"Toshkent, Olmazor tumani - 2025-07-01"
3 m²,1 650 893 429 so’m,"Toshkent, Yunusobod tumani - 2025-06-09"
6 m²,450 000 000 so’mKelishilgan,Nukus - 2025-06-30
100 m²,1 523 901 627 so’m,"Toshkent, Yashnobod tumani - 2025-07-01"
500 m²,888 942 615 so’mKelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 10:22"
600 m²,1 803 283 591 so’m,"Toshkent, Bektemir tumani - Bugunda 10:22"
500 m²,3 174 795 055 so’mKelishilgan,Samarqand - Bugunda 10:22
100 m²,927 040 156 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 10:20"
380 m²,2 857 315 550 so’mKelishilgan,Samarqand - Bugunda 10:22
300 m²,4 381 217 176 so’mKelishilgan,"Toshkent, Olmazor tumani - Bugunda 10:21"
700 m²,507 967 209 so’mKelishilgan,Yangiariq - Bugunda 10:19
200 m²,787 349 174 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 10:21"
200 m²,1 206 422 121 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 10:18"
100 m²,1 612 795 888 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 10:18"
470 m²,1 904 877 033 so’m,"Toshkent, Sirg‘ali tumani - 2025-06-29"
530 m²,3 428 778 660 so’mKelishilgan,"Toshkent, Mirobod tumani - 2025-06-30"
800 m²,1 714 389 330 so’m,Keles - 2025-06-29
4 700 m²,1 904 877 033 so’mKelishilgan,Qibray - Bugunda 10:18
